readLength	qualityScore	positionInRead	N	ExpectedCorrect	EmpiricalCorrect
101	#	0	1097940	0.369043	0.556721679635772
101	&	0	0	0.683772	0
101	'	0	0	0.748811	0
101	(	0	0	0.800474	0
101	)	0	0	0.841511	0
101	*	0	0	0.874107	0
101	+	0	6159834	0.9	0.946164627591912
101	,	0	0	0.920567	0
101	-	0	0	0.936904	0
101	.	0	0	0.949881	0
101	/	0	0	0.960189	0
101	0	0	0	0.968377	0
101	1	0	8100085	0.974881	0.988415800737523
101	2	0	0	0.980047	0
101	3	0	0	0.984151	0
101	4	0	118372	0.987411	0.997676793971546
101	5	0	0	0.99	0
101	6	0	0	0.992057	0
101	7	0	726320	0.99369	0.996318431429673
101	8	0	6794379	0.994988	0.99701753700007
101	9	0	0	0.996019	0
101	:	0	7785485	0.996838	0.998186628975332
101	;	0	14942231	0.997488	0.998263219018432
101	<	0	15930439	0.998005	0.998452959609085
101	=	0	14916024	0.998415	0.999105518224026
101	>	0	0	0.998741	0
101	?	0	65124933	0.999	0.999053929179658
101	@	0	421624845	0.999206	0.999278874899029
101	A	0	0	0.999369	0
101	B	0	157451196	0.999499	0.999432769029452
101	C	0	841358398	0.999602	0.999425705147996
101	D	0	0	0.999684	0
101	E	0	0	0.999749	0
101	F	0	0	0.9998	0
101	G	0	0	0.999842	0
101	H	0	0	0.999874	0
101	I	0	0	0.9999	0
101	J	0	0	0.999921	0
101	#	1	687901	0.369043	0.986070670977365
101	&	1	0	0.683772	0
101	'	1	0	0.748811	0
101	(	1	0	0.800474	0
101	)	1	0	0.841511	0
101	*	1	0	0.874107	0
101	+	1	5586178	0.9	0.943310959988923
101	,	1	0	0.920567	0
101	-	1	0	0.936904	0
101	.	1	0	0.949881	0
101	/	1	0	0.960189	0
101	0	1	0	0.968377	0
101	1	1	8480151	0.974881	0.99362736455931
101	2	1	0	0.980047	0
101	3	1	0	0.984151	0
101	4	1	98649	0.987411	0.999148498707538
101	5	1	0	0.99	0
101	6	1	0	0.992057	0
101	7	1	1265534	0.99369	0.996445778179804
101	8	1	5713894	0.994988	0.997499076555498
101	9	1	0	0.996019	0
101	:	1	7188465	0.996838	0.999232797309302
101	;	1	13387587	0.997488	0.998381344719478
101	<	1	18124094	0.998005	0.998625375264604
101	=	1	12795538	0.998415	0.999427532547829
101	>	1	0	0.998741	0
101	?	1	55034039	0.999	0.999298958653115
101	@	1	344867811	0.999206	0.999474722754837
101	A	1	0	0.999369	0
101	B	1	80388956	0.999499	0.999615035252777
101	C	1	1009135908	0.999602	0.999660550056189
101	D	1	0	0.999684	0
101	E	1	0	0.999749	0
101	F	1	0	0.9998	0
101	G	1	0	0.999842	0
101	H	1	0	0.999874	0
101	I	1	0	0.9999	0
101	J	1	0	0.999921	0
101	#	2	896060	0.369043	0.824241663810459
101	&	2	0	0.683772	0
101	'	2	0	0.748811	0
101	(	2	0	0.800474	0
101	)	2	0	0.841511	0
101	*	2	0	0.874107	0
101	+	2	5775516	0.9	0.907573619913442
101	,	2	0	0.920567	0
101	-	2	0	0.936904	0
101	.	2	0	0.949881	0
101	/	2	0	0.960189	0
101	0	2	0	0.968377	0
101	1	2	8107662	0.974881	0.988288250593204
101	2	2	0	0.980047	0
101	3	2	0	0.984151	0
101	4	2	31855	0.987411	0.995322547417988
101	5	2	0	0.99	0
101	6	2	0	0.992057	0
101	7	2	1565871	0.99369	0.994707079335399
101	8	2	5446193	0.994988	0.9967891282584
101	9	2	0	0.996019	0
101	:	2	7079553	0.996838	0.998979334247092
101	;	2	12976149	0.997488	0.998071085639429
101	<	2	19234094	0.998005	0.998425038810199
101	=	2	12785735	0.998415	0.999382889891507
101	>	2	0	0.998741	0
101	?	2	53123167	0.999	0.999332089268436
101	@	2	322215219	0.999206	0.999510438615565
101	A	2	0	0.999369	0
101	B	2	75145244	0.999499	0.999691132643817
101	C	2	1038931308	0.999602	0.999719606394814
101	D	2	0	0.999684	0
101	E	2	0	0.999749	0
101	F	2	0	0.9998	0
101	G	2	0	0.999842	0
101	H	2	0	0.999874	0
101	I	2	0	0.9999	0
101	J	2	0	0.999921	0
101	#	3	873642	0.369043	0.910715144540898
101	&	3	0	0.683772	0
101	'	3	0	0.748811	0
101	(	3	0	0.800474	0
101	)	3	0	0.841511	0
101	*	3	0	0.874107	0
101	+	3	5702059	0.9	0.893660175848583
101	,	3	0	0.920567	0
101	-	3	0	0.936904	0
101	.	3	0	0.949881	0
101	/	3	0	0.960189	0
101	0	3	0	0.968377	0
101	1	3	2504302	0.974881	0.981707887709229
101	2	3	0	0.980047	0
101	3	3	0	0.984151	0
101	4	3	5572607	0.987411	0.981157837844836
101	5	3	0	0.99	0
101	6	3	0	0.992057	0
101	7	3	1349118	0.99369	0.991758313609337
101	8	3	0	0.994988	0
101	9	3	0	0.996019	0
101	:	3	5283254	0.996838	0.995711355733607
101	;	3	6125444	0.997488	0.996564000503475
101	<	3	330317	0.998005	0.991547494966957
101	=	3	10532007	0.998415	0.996989008967428
101	>	3	85098	0.998741	0.999294932524854
101	?	3	15127581	0.999	0.998342036229453
101	@	3	277593	0.999206	0.997233374015196
101	A	3	22027184	0.999369	0.99862447685546
101	B	3	35051119	0.999499	0.999094722484467
101	C	3	0	0.999602	0
101	D	3	245634159	0.999684	0.999512224715459
101	E	3	0	0.999749	0
101	F	3	1207007079	0.9998	0.999721955535659
101	G	3	0	0.999842	0
101	H	3	0	0.999874	0
101	I	3	0	0.9999	0
101	J	3	0	0.999921	0
101	#	4	1132008	0.369043	0.79226470770083
101	&	4	0	0.683772	0
101	'	4	0	0.748811	0
101	(	4	0	0.800474	0
101	)	4	0	0.841511	0
101	*	4	0	0.874107	0
101	+	4	6080617	0.9	0.89201951335366
101	,	4	0	0.920567	0
101	-	4	0	0.936904	0
101	.	4	0	0.949881	0
101	/	4	0	0.960189	0
