contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
1	249250621	0		
2	243199373	0		
3	198022430	0		
4	191154276	0		
5	180915260	0		
6	171115067	0	28477796	33448355
7	159138663	0		
8	146364022	0		
9	141213431	0		
10	135534747	0		
11	135006516	0		
12	133851895	0		
13	115169878	0		
14	107349540	0		
15	102531392	0		
16	90354753	0		
17	81195210	0		
18	78077248	0		
19	59128983	0		
20	63025520	0		
21	48129895	0		
22	51304566	0		
X	155270560	0		
Y	59373566	0		
MT	16569	0		
GL000207.1	4262	0		
GL000226.1	15008	0		
GL000229.1	19913	0		
GL000231.1	27386	0		
GL000210.1	27682	0		
GL000239.1	33824	0		
GL000235.1	34474	0		
GL000201.1	36148	0		
GL000247.1	36422	0		
GL000245.1	36651	0		
GL000197.1	37175	0		
GL000203.1	37498	0		
GL000246.1	38154	0		
GL000249.1	38502	0		
GL000196.1	38914	0		
GL000248.1	39786	0		
GL000244.1	39929	0		
GL000238.1	39939	0		
GL000202.1	40103	0		
GL000234.1	40531	0		
GL000232.1	40652	0		
GL000206.1	41001	0		
GL000240.1	41933	0		
GL000236.1	41934	0		
GL000241.1	42152	0		
GL000243.1	43341	0		
GL000242.1	43523	0		
GL000230.1	43691	0		
GL000237.1	45867	0		
GL000233.1	45941	0		
GL000204.1	81310	0		
GL000198.1	90085	0		
GL000208.1	92689	0		
GL000191.1	106433	0		
GL000227.1	128374	0		
GL000228.1	129120	0		
GL000214.1	137718	0		
GL000221.1	155397	0		
GL000209.1	159169	0		
GL000218.1	161147	0		
GL000220.1	161802	0		
GL000213.1	164239	0		
GL000211.1	166566	0		
GL000199.1	169874	0		
GL000217.1	172149	0		
GL000216.1	172294	0		
GL000215.1	172545	0		
GL000205.1	174588	0		
GL000219.1	179198	0		
GL000224.1	179693	0		
GL000223.1	180455	0		
GL000195.1	182896	0		
GL000212.1	186858	0		
GL000222.1	186861	0		
GL000200.1	187035	0		
GL000193.1	189789	0		
GL000194.1	191469	0		
GL000225.1	211173	0		
GL000192.1	547496	0		
EBVType1.NC_007605.1	171823	0		
EBVType2.NC_009334.1	172764	0		
HBV.NC_003977.2	3182	0		
HHV1.NC_001806.2	152222	0		
HHV2.NC_001798.2	154675	0		
HHV3.NC_001348.1	124884	0		
HHV5.NC_006273.2	235646	0		
HHV6A.NC_001664.4	159378	0		
HHV6B.NC_000898.1	162114	0		
HHV7.NC_001716.2	153080	0		
HHV8.NC_009333.1	137969	0		
HPVType100.FM955839.1	7380	0		
HPVType101.NC_008189.1	7259	0		
HPVType102.DQ080083.1	8078	0		
HPVType103.NC_008188.1	7263	0		
HPVType104.FM955840.1	7386	0		
HPVType105.FM955841.1	7667	0		
HPVType106.DQ080082.1	8035	0		
HPVType107.EF422221.1	7562	0		
HPVType108.NC_012213.1	7149	0		
HPVType109.NC_012485.1	7346	0		
HPVType10.NC_001576.1	7919	0		
HPVType110.EU410348.1	7420	0		
HPVType111.EU410349.1	7384	0		
HPVType112.NC_012486.1	7227	0		
HPVType113.FM955842.1	7412	0		
HPVType114.GQ244463.1	8069	0		
HPVType115.FJ947080.1	7476	0		
HPVType116.NC_013035.1	7184	0		
HPVType117.GQ246950.1	7895	0		
HPVType118.GQ246951.1	7597	0		
HPVType119.GQ845441.1	7251	0		
HPVType11.FR872717.1	7933	0		
HPVType120.FN598907.1	7307	0		
HPVType121.NC_014185.1	7342	0		
HPVType122.GQ845444.1	7397	0		
HPVType123.GQ845445.1	7329	0		
HPVType124.GQ845446.1	7489	0		
HPVType125.FN547152.2	7809	0		
HPVType126.NC_016157.1	7326	0		
HPVType127.NC_014469.1	7181	0		
HPVType128.NC_014952.1	7259	0		
HPVType129.NC_014953.1	7219	0		
HPVType12.X74466.1	7673	0		
HPVType130.GU117630.1	7388	0		
HPVType131.NC_014954.1	7182	0		
HPVType132.NC_014955.1	7125	0		
HPVType133.GU117633.1	7358	0		
HPVType134.NC_014956.1	7309	0		
HPVType135.NC_017993.1	7293	0		
HPVType136.NC_017994.1	7319	0		
HPVType137.NC_017995.1	7236	0		
HPVType138.HM999990.1	7353	0		
HPVType139.HM999991.1	7360	0		
HPVType13.DQ344807.1	7880	0		
HPVType140.NC_017996.1	7341	0		
HPVType141.HM999993.1	7384	0		
HPVType142.HM999994.1	7374	0		
HPVType143.HM999995.1	7715	0		
HPVType144.NC_017997.1	7271	0		
HPVType145.HM999997.1	7375	0		
HPVType146.HM999998.1	7265	0		
HPVType147.HM999999.1	7224	0		
HPVType148.GU129016.1	7164	0		
HPVType149.GU117629.1	7333	0		
HPVType14D.X74467.1	7439	0		
HPVType150.FN677755.1	7436	0		
HPVType151.FN677756.1	7386	0		
HPVType152.JF304768.1	7480	0		
HPVType153.JN171845.1	7240	0		
HPVType154.NC_021483.1	7286	0		
HPVType155.JF906559.1	7352	0		
HPVType156.JX429973.1	7329	0		
HPVType157.KT698166.1	7154	0		
HPVType158.KT698168.1	7192	0		
HPVType159.HE963025.1	7443	0		
HPVType15.X74468.1	7412	0		
HPVType161.JX413109.1	7238	0		
HPVType162.JX413108.1	7214	0		
HPVType163.NC_028125.1	7233	0		
HPVType164.JX413106.1	7233	0		
HPVType165.JX444072.1	7129	0		
HPVType166.NC_019023.1	7212	0		
HPVType167.NC_022892.1	7228	0		
HPVType168.KC862317.1	7204	0		
HPVType169.JX413105.1	7252	0		
HPVType16.NC_001526.4	7906	0		
HPVType170.JX413110.1	7417	0		
HPVType171.KF006398.1	7261	0		
HPVType172.KF006399.1	7203	0		
HPVType173.KF006400.1	7297	0		
HPVType174.HF930491.1	7359	0		
HPVType175.KC108721.1	7226	0		
HPVType178.NC_023891.1	7314	0		
HPVType179.NC_022095.1	7228	0		
HPVType17.X74469.1	7427	0		
HPVType180.KC108722.1	7356	0		
HPVType184.HG530535.1	7324	0		
HPVType18.AY262282.1	7857	0		
HPVType197.KM085343.1	7278	0		
HPVType199.KT372348.1	7184	0		
HPVType19.X74470.1	7685	0		
HPVType1a.U06714.1	7801	0		
HPVType200.KP692114.1	7137	0		
HPVType201.NC_027528.1	7291	0		
HPVType202.KP692116.1	7344	0		
HPVType204.KP769769.1	7227	0		
HPVType205.KT698167.1	7298	0		
HPVType20.U31778.1	7757	0		
HPVType21.U31779.1	7779	0		
HPVType22.U31780.1	7368	0		
HPVType23.U31781.1	7324	0		
HPVType24.U31782.1	7452	0		
HPVType25.X74471.1	7713	0		
HPVType26.NC_001583.1	7855	0		
HPVType27.X74473.1	7823	0		
HPVType28.U31783.1	7959	0		
HPVType29.U31784.1	7916	0		
HPVType2.EF117891.1	7859	0		
HPVType30.KU298887.1	7817	0		
HPVType31.J04353.1	7912	0		
HPVType32.NC_001586.1	7961	0		
HPVType33.M12732.1	7909	0		
HPVType34.X74476.1	7723	0		
HPVType35.M74117.1	7851	0		
HPVType36.U31785.1	7722	0		
HPVType37.U31786.1	7421	0		
HPVType38.U31787.1	7400	0		
HPVType39.KC470249.1	7833	0		
HPVType3.X74462.1	7820	0		
HPVType40.KU298895.1	7890	0		
HPVType41.NC_001354.1	7614	0		
HPVType42.KU298897.1	7919	0		
HPVType43.AJ620205.1	7975	0		
HPVType44.U31788.1	7833	0		
HPVType45.KC470260.1	7849	0		
HPVType47.M32305.1	7726	0		
HPVType48.NC_001690.1	7100	0		
HPVType49.NC_001591.1	7560	0		
HPVType4.NC_001457.1	7353	0		
HPVType50.NC_001691.1	7184	0		
HPVType51.KU298905.1	7811	0		
HPVType52.KU298910.1	7910	0		
HPVType53.NC_001593.1	7856	0		
HPVType54.KU298914.1	7709	0		
HPVType55.U31791.1	7822	0		
HPVType56.KU298919.1	7822	0		
HPVType57.X55965.1	7861	0		
HPVType58.D90400.1	7824	0		
HPVType59.X77858.1	7896	0		
HPVType5.NC_001531.1	7746	0		
HPVType60.NC_001693.1	7313	0		
HPVType61.KU298923.1	7989	0		
HPVType62.KU298924.1	8092	0		
HPVType63.NC_001458.1	7348	0		
HPVType65.X70829.1	7308	0		
HPVType66.U31794.1	7824	0		
HPVType67.KU298930.1	7809	0		
HPVType68.KC470283.1	7836	0		
HPVType69.KF436864.1	7705	0		
HPVType6.AF092932.1	8012	0		
HPVType70.U21941.1	7905	0		
HPVType71.AY330623.1	8038	0		
HPVType72.X94164.1	7988	0		
HPVType73.KF436831.1	7730	0		
HPVType74.AF436130.1	7887	0		
HPVType75.Y15173.1	7537	0		
HPVType76.Y15174.1	7549	0		
HPVType77.Y15175.1	7887	0		
HPVType7.NC_001595.1	8027	0		
HPVType80.Y15176.1	7427	0		
HPVType81.AJ620209.1	8070	0		
HPVType82.KF436803.1	7908	0		
HPVType83.AF151983.1	8104	0		
HPVType84.AF293960.1	7948	0		
HPVType86.AF349909.1	7983	0		
HPVType87.KU298942.1	7995	0		
HPVType88.NC_010329.1	7326	0		
HPVType89.KU298945.1	8074	0		
HPVType8.M12737.1	7654	0		
HPVType90.NC_004104.1	8033	0		
HPVType91.AF419318.1	7966	0		
HPVType92.NC_004500.1	7461	0		
HPVType93.AY382778.1	7450	0		
HPVType94.GU117628.1	7872	0		
HPVType95.AJ620210.1	7337	0		
HPVType96.NC_005134.2	7438	0		
HPVType97.DQ080080.1	7843	0		
HPVType98.FM955837.2	7466	0		
HPVType99.FM955838.1	7698	0		
HPVType9.NC_001596.1	7434	0		
HPVTypecand85.AF131950.1	7812	0		
HPVTypeKC5.NC_026946.1	7143	0		
HPVTypeMTS1.KY349817.1	7405	0		
HPVTypeRTRX7.U85660.1	7731	0		
