contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
1	248956422	0		
2	242193529	0		
3	198295559	0		
4	190214555	0		
5	181538259	0		
6	170805979	0	28510120	33480577
7	159345973	0		
8	145138636	0		
9	138394717	0		
10	133797422	0		
11	135086622	0		
12	133275309	0		
13	114364328	0		
14	107043718	0		
15	101991189	0		
16	90338345	0		
17	83257441	0		
18	80373285	0		
19	58617616	0		
20	64444167	0		
21	46709983	0		
22	50818468	0		
X	156040895	0		
Y	57227415	0		
MT	16569	0		
*	0	1		
