contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
chr1	248956422	0		
chr2	242193529	0		
chr3	198295559	0		
chr4	190214555	0		
chr5	181538259	0		
chr6	170805979	0	28510120	33480577
chr7	159345973	0		
chr8	145138636	0		
chr9	138394717	0		
chr10	133797422	0		
chr11	135086622	0		
chr12	133275309	0		
chr13	114364328	0		
chr14	107043718	0		
chr15	101991189	0		
chr16	90338345	0		
chr17	83257441	0		
chr18	80373285	0		
chr19	58617616	0		
chr20	64444167	0		
chr21	46709983	0		
chr22	50818468	0		
chrX	156040895	0		
chrY	57227415	0		
chrM	16569	0		
GL000008.2	209709	0		
GL000009.2	201709	0		
GL000194.1	191469	0		
GL000195.1	182896	0		
GL000205.2	185591	0		
GL000208.1	92689	0		
GL000213.1	164239	0		
GL000214.1	137718	0		
GL000216.2	176608	0		
GL000218.1	161147	0		
GL000219.1	179198	0		
GL000220.1	161802	0		
GL000221.1	155397	0		
GL000224.1	179693	0		
GL000225.1	211173	0		
GL000226.1	15008	0		
KQ759759.1	196940	0		
KN538364.1	415308	0		
KQ759762.1	101037	0		
KQ031383.1	467143	0		
KN538369.1	541038	0		
JH159136.1	200998	0		
JH159137.1	191409	0		
KZ208923.1	48370	0		
KZ208924.1	209722	0		
KQ031387.1	320750	0		
KV766195.1	140877	0		
KZ208916.1	1046838	0		
KN538360.1	460100	0		
KZ208920.1	690932	0		
KZ208906.1	330031	0		
KN196484.1	370917	0		
KN196476.1	305979	0		
KQ983257.1	230434	0		
KN196479.1	330164	0		
KV575245.1	154723	0		
KZ208917.1	64689	0		
KZ208911.1	242796	0		
KN196473.1	166200	0		
KZ559108.1	305244	0		
KN196487.1	101150	0		
KQ759760.1	315610	0		
KN196475.1	451168	0		
KV880766.1	156998	0		
KV880767.1	265876	0		
KQ090016.1	245716	0		
KV880764.1	142129	0		
KN538361.1	305542	0		
KN196474.1	122022	0		
KZ559109.1	279644	0		
KQ090022.1	181958	0		
KN196478.1	268330	0		
KZ559104.1	105527	0		
KN196480.1	277797	0		
KQ090028.1	407387	0		
KN196483.1	35455	0		
KN196481.1	108875	0		
KN538363.1	365499	0		
KN538362.1	208149	0		
KQ031385.1	373699	0		
KV766192.1	411654	0		
KQ031386.1	165718	0		
KQ031388.1	179932	0		
KN538365.1	14347	0		
KN538366.1	85284	0		
