contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
NC_000001.11	248956422	0		
NT_187361.1	175055	0		
NT_187362.1	32032	0		
NT_187363.1	127682	0		
NT_187364.1	66860	0		
NT_187365.1	40176	0		
NT_187366.1	42210	0		
NT_187367.1	176043	0		
NT_187368.1	40745	0		
NT_187369.1	41717	0		
NC_000002.12	242193529	0		
NT_187370.1	161471	0		
NT_187371.1	153799	0		
NC_000003.12	198295559	0		
NT_167215.1	155397	0		
NC_000004.12	190214555	0		
NT_113793.3	209709	0		
NC_000005.10	181538259	0		
NT_113948.1	92689	0		
NC_000006.12	170805979	0	28510120	33480577
NC_000007.14	159345973	0		
NC_000008.11	145138636	0		
NC_000009.12	138394717	0		
NT_187372.1	40062	0		
NT_187373.1	38054	0		
NT_187374.1	176845	0		
NT_187375.1	39050	0		
NC_000010.11	133797422	0		
NC_000011.10	135086622	0		
NT_187376.1	100316	0		
NC_000012.12	133275309	0		
NC_000013.11	114364328	0		
NC_000014.9	107043718	0		
NT_113796.3	201709	0		
NT_167219.1	211173	0		
NT_187377.1	194050	0		
NT_113888.1	191469	0		
NT_187378.1	38115	0		
NT_187379.1	39555	0		
NT_187380.1	172810	0		
NT_187381.1	43739	0		
NC_000015.10	101991189	0		
NT_187382.1	448248	0		
NC_000016.10	90338345	0		
NT_187383.1	1872759	0		
NC_000017.11	83257441	0		
NT_113930.2	185591	0		
NT_187384.1	280839	0		
NT_187385.1	112551	0		
NC_000018.10	80373285	0		
NC_000019.10	58617616	0		
NC_000020.11	64444167	0		
NC_000021.9	46709983	0		
NC_000022.11	50818468	0		
NT_187386.1	150754	0		
NT_187387.1	41543	0		
NT_187388.1	179772	0		
NT_187389.1	165050	0		
NT_187390.1	42811	0		
NT_187391.1	181920	0		
NT_187392.1	103838	0		
NT_187393.1	99375	0		
NT_187394.1	73985	0		
NC_000023.11	156040895	0		
NC_000024.10	57227415	0		
NT_187395.1	37240	0		
NT_187396.1	2274	0		
NT_187397.1	2165	0		
NT_187398.1	1942	0		
NT_187399.1	1472	0		
NT_187400.1	21476	0		
NT_187401.1	4416	0		
NT_187402.1	1201	0		
NT_187403.1	1444	0		
NT_187404.1	2276	0		
NT_187405.1	998	0		
NT_187406.1	12399	0		
NT_187407.1	37690	0		
NT_187408.1	1179	0		
NT_187409.1	2646	0		
NT_187410.1	2489	0		
NT_187411.1	1029	0		
NT_187412.1	2145	0		
NT_187413.1	2321	0		
NT_187414.1	2140	0		
NT_187415.1	2043	0		
NT_187416.1	1445	0		
NT_187417.1	981	0		
NT_187418.1	1884	0		
NT_187419.1	1361	0		
NT_187420.1	392061	0		
NT_187421.1	1233	0		
