contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
chr1	248956422	0		
chr2	242193529	0		
chr3	198295559	0		
chr4	190214555	0		
chr5	181538259	0		
chr6	170805979	0	28510120	33480577
chr7	159345973	0		
chr8	145138636	0		
chr9	138394717	0		
chr10	133797422	0		
chr11	135086622	0		
chr12	133275309	0		
chr13	114364328	0		
chr14	107043718	0		
chr15	101991189	0		
chr16	90338345	0		
chr17	83257441	0		
chr18	80373285	0		
chr19	58617616	0		
chr20	64444167	0		
chr21	46709983	0		
chr22	50818468	0		
chrX	156040895	0		
chrY	57227415	0		
chrM	16569	0		
chr1_KI270706v1_random	175055	0		
chr1_KI270707v1_random	32032	0		
chr1_KI270708v1_random	127682	0		
chr1_KI270709v1_random	66860	0		
chr1_KI270710v1_random	40176	0		
chr1_KI270711v1_random	42210	0		
chr1_KI270712v1_random	176043	0		
chr1_KI270713v1_random	40745	0		
chr1_KI270714v1_random	41717	0		
chr2_KI270715v1_random	161471	0		
chr2_KI270716v1_random	153799	0		
chr3_GL000221v1_random	155397	0		
chr4_GL000008v2_random	209709	0		
chr5_GL000208v1_random	92689	0		
chr9_KI270717v1_random	40062	0		
chr9_KI270718v1_random	38054	0		
chr9_KI270719v1_random	176845	0		
chr9_KI270720v1_random	39050	0		
chr11_KI270721v1_random	100316	0		
chr14_GL000009v2_random	201709	0		
chr14_GL000225v1_random	211173	0		
chr14_KI270722v1_random	194050	0		
chr14_GL000194v1_random	191469	0		
chr14_KI270723v1_random	38115	0		
chr14_KI270724v1_random	39555	0		
chr14_KI270725v1_random	172810	0		
chr14_KI270726v1_random	43739	0		
chr15_KI270727v1_random	448248	0		
chr16_KI270728v1_random	1872759	0		
chr17_GL000205v2_random	185591	0		
chr17_KI270729v1_random	280839	0		
chr17_KI270730v1_random	112551	0		
chr22_KI270731v1_random	150754	0		
chr22_KI270732v1_random	41543	0		
chr22_KI270733v1_random	179772	0		
chr22_KI270734v1_random	165050	0		
chr22_KI270735v1_random	42811	0		
chr22_KI270736v1_random	181920	0		
chr22_KI270737v1_random	103838	0		
chr22_KI270738v1_random	99375	0		
chr22_KI270739v1_random	73985	0		
chrY_KI270740v1_random	37240	0		
chrUn_KI270302v1	2274	0		
chrUn_KI270304v1	2165	0		
chrUn_KI270303v1	1942	0		
chrUn_KI270305v1	1472	0		
