contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
chr1	248387328	0		
chr2	242696752	0		
chr3	201105948	0		
chr4	193574945	0		
chr5	182045439	0		
chr6	172126628	28381554	33301857	
chr7	160567428	0		
chr8	146259331	0		
chr9	150617247	0		
chr10	134758134	0		
chr11	135127769	0		
chr12	133324548	0		
chr13	113566686	0		
chr14	101161492	0		
chr15	99753195	0		
chr16	96330374	0		
chr17	84276897	0		
chr18	80542538	0		
chr19	61707364	0		
chr20	66210255	0		
chr21	45090682	0		
chr22	51324926	0		
chrX	154259566	0		
chrY	62460029	0		
chrM	16569	0		
*	0	1		
