contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
chr1	249250621	0		
chr2	243199373	0		
chr3	198022430	0		
chr4	191154276	0		
chr5	180915260	0		
chr6	171115067	0	28477796	33448355
chr7	159138663	0		
chr8	146364022	0		
chr9	141213431	0		
chr10	135534747	0		
chr11	135006516	0		
chr12	133851895	0		
chr13	115169878	0		
chr14	107349540	0		
chr15	102531392	0		
chr16	90354753	0		
chr17	81195210	0		
chr18	78077248	0		
chr19	59128983	0		
chr20	63025520	0		
chr21	48129895	0		
chr22	51304566	0		
chrX	155270560	0		
chrY	59373566	0		
chr1_gl000191_random	106433	0		
chr1_gl000192_random	547496	0		
chr4_ctg9_hap1	590426	0		
chr4_gl000193_random	189789	0		
chr4_gl000194_random	191469	0		
chr6_apd_hap1	4622290	1		
chr6_cox_hap2	4795371	1		
chr6_dbb_hap3	4610396	1		
chr6_mann_hap4	4683263	1		
chr6_mcf_hap5	4833398	1		
chr6_qbl_hap6	4611984	1		
chr6_ssto_hap7	4928567	1		
chr7_gl000195_random	182896	0		
chr8_gl000196_random	38914	0		
chr8_gl000197_random	37175	0		
chr9_gl000198_random	90085	0		
chr9_gl000199_random	169874	0		
chr9_gl000200_random	187035	0		
chr9_gl000201_random	36148	0		
chr11_gl000202_random	40103	0		
chr17_ctg5_hap1	1680828	0		
chr17_gl000203_random	37498	0		
chr17_gl000204_random	81310	0		
chr17_gl000205_random	174588	0		
chr17_gl000206_random	41001	0		
chr18_gl000207_random	4262	0		
chr19_gl000208_random	92689	0		
chr19_gl000209_random	159169	0		
chr21_gl000210_random	27682	0		
chrUn_gl000211	166566	0		
chrUn_gl000212	186858	0		
chrUn_gl000213	164239	0		
chrUn_gl000214	137718	0		
chrUn_gl000215	172545	0		
chrUn_gl000216	172294	0		
chrUn_gl000217	172149	0		
chrUn_gl000218	161147	0		
chrUn_gl000219	179198	0		
chrUn_gl000220	161802	0		
chrUn_gl000221	155397	0		
chrUn_gl000222	186861	0		
chrUn_gl000223	180455	0		
chrUn_gl000224	179693	0		
chrUn_gl000225	211173	0		
chrUn_gl000226	15008	0		
chrUn_gl000227	128374	0		
chrUn_gl000228	129120	0		
chrUn_gl000229	19913	0		
chrUn_gl000230	43691	0		
chrUn_gl000231	27386	0		
chrUn_gl000232	40652	0		
chrUn_gl000233	45941	0		
chrUn_gl000234	40531	0		
chrUn_gl000235	34474	0		
chrUn_gl000236	41934	0		
chrUn_gl000237	45867	0		
chrUn_gl000238	39939	0		
chrUn_gl000239	33824	0		
chrUn_gl000240	41933	0		
chrUn_gl000241	42152	0		
chrUn_gl000242	43523	0		
chrUn_gl000243	43341	0		
chrUn_gl000244	39929	0		
chrUn_gl000245	36651	0		
chrUn_gl000246	38154	0		
chrUn_gl000247	36422	0		
chrUn_gl000248	39786	0		
chrUn_gl000249	38502	0		
chrM	16571	0		
*	0	1		
