contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
1	249250621	0		
2	243199373	0		
3	198022430	0		
4	191154276	0		
5	180915260	0		
6	171115067	0	28477796	33448355
7	159138663	0		
8	146364022	0		
9	141213431	0		
10	135534747	0		
11	135006516	0		
12	133851895	0		
13	115169878	0		
14	107349540	0		
15	102531392	0		
16	90354753	0		
17	81195210	0		
18	78077248	0		
19	59128983	0		
20	63025520	0		
21	48129895	0		
22	51304566	0		
X	155270560	0		
Y	59373566	0		
MT	16569	0		
*	0	1		
