contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
chr1	249250621	0		
chr2	243199373	0		
chr3	198022430	0		
chr4	191154276	0		
chr5	180915260	0		
chr6	171115067	0	28477796	33448355
chr7	159138663	0		
chr8	146364022	0		
chr9	141213431	0		
chr10	135534747	0		
chr11	135006516	0		
chr12	133851895	0		
chr13	115169878	0		
chr14	107349540	0		
chr15	102531392	0		
chr16	90354753	0		
chr17	81195210	0		
chr18	78077248	0		
chr19	59128983	0		
chr20	63025520	0		
chr21	48129895	0		
chr22	51304566	0		
chrX	155270560	0		
chrY	59373566	0		
chrM	16569	0		
*	0	1		
