contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
1	248956422	0		
2	242193529	0		
3	198295559	0		
4	190214555	0		
5	181538259	0		
6	170805979	0	28510120	33480577
7	159345973	0		
8	145138636	0		
9	138394717	0		
10	133797422	0		
11	135086622	0		
12	133275309	0		
13	114364328	0		
14	107043718	0		
15	101991189	0		
16	90338345	0		
17	83257441	0		
18	80373285	0		
19	58617616	0		
20	64444167	0		
21	46709983	0		
22	50818468	0		
X	156040895	0		
Y	57227415	0		
M	16569	0		
1_KI270706v1_random	175055	0		
1_KI270707v1_random	32032	0		
1_KI270708v1_random	127682	0		
1_KI270709v1_random	66860	0		
1_KI270710v1_random	40176	0		
1_KI270711v1_random	42210	0		
1_KI270712v1_random	176043	0		
1_KI270713v1_random	40745	0		
1_KI270714v1_random	41717	0		
2_KI270715v1_random	161471	0		
2_KI270716v1_random	153799	0		
3_GL000221v1_random	155397	0		
4_GL000008v2_random	209709	0		
5_GL000208v1_random	92689	0		
9_KI270717v1_random	40062	0		
9_KI270718v1_random	38054	0		
9_KI270719v1_random	176845	0		
9_KI270720v1_random	39050	0		
11_KI270721v1_random	100316	0		
14_GL000009v2_random	201709	0		
14_GL000225v1_random	211173	0		
14_KI270722v1_random	194050	0		
14_GL000194v1_random	191469	0		
14_KI270723v1_random	38115	0		
14_KI270724v1_random	39555	0		
14_KI270725v1_random	172810	0		
14_KI270726v1_random	43739	0		
15_KI270727v1_random	448248	0		
16_KI270728v1_random	1872759	0		
17_GL000205v2_random	185591	0		
17_KI270729v1_random	280839	0		
17_KI270730v1_random	112551	0		
22_KI270731v1_random	150754	0		
22_KI270732v1_random	41543	0		
22_KI270733v1_random	179772	0		
22_KI270734v1_random	165050	0		
22_KI270735v1_random	42811	0		
22_KI270736v1_random	181920	0		
22_KI270737v1_random	103838	0		
22_KI270738v1_random	99375	0		
22_KI270739v1_random	73985	0		
Y_KI270740v1_random	37240	0		
Un_KI270302v1	2274	0		
Un_KI270304v1	2165	0		
Un_KI270303v1	1942	0		
Un_KI270305v1	1472	0		
Un_KI270322v1	21476	0		
Un_KI270320v1	4416	0		
Un_KI270310v1	1201	0		
Un_KI270316v1	1444	0		
Un_KI270315v1	2276	0		
Un_KI270312v1	998	0		
Un_KI270311v1	12399	0		
Un_KI270317v1	37690	0		
Un_KI270412v1	1179	0		
Un_KI270411v1	2646	0		
Un_KI270414v1	2489	0		
Un_KI270419v1	1029	0		
Un_KI270418v1	2145	0		
Un_KI270420v1	2321	0		
Un_KI270424v1	2140	0		
Un_KI270417v1	2043	0		
Un_KI270422v1	1445	0		
Un_KI270423v1	981	0		
Un_KI270425v1	1884	0		
Un_KI270429v1	1361	0		
Un_KI270442v1	392061	0		
Un_KI270466v1	1233	0		
Un_KI270465v1	1774	0		
Un_KI270467v1	3920	0		
Un_KI270435v1	92983	0		
Un_KI270438v1	112505	0		
Un_KI270468v1	4055	0		
Un_KI270510v1	2415	0		
Un_KI270509v1	2318	0		
Un_KI270518v1	2186	0		
Un_KI270508v1	1951	0		
Un_KI270516v1	1300	0		
Un_KI270512v1	22689	0		
Un_KI270519v1	138126	0		
Un_KI270522v1	5674	0		
Un_KI270511v1	8127	0		
Un_KI270515v1	6361	0		
Un_KI270507v1	5353	0		
Un_KI270517v1	3253	0		
Un_KI270529v1	1899	0		
Un_KI270528v1	2983	0		
Un_KI270530v1	2168	0		
Un_KI270539v1	993	0		
Un_KI270538v1	91309	0		
Un_KI270544v1	1202	0		
Un_KI270548v1	1599	0		
Un_KI270583v1	1400	0		
Un_KI270587v1	2969	0		
Un_KI270580v1	1553	0		
Un_KI270581v1	7046	0		
Un_KI270579v1	31033	0		
Un_KI270589v1	44474	0		
Un_KI270590v1	4685	0		
Un_KI270584v1	4513	0		
Un_KI270582v1	6504	0		
Un_KI270588v1	6158	0		
Un_KI270593v1	3041	0		
Un_KI270591v1	5796	0		
Un_KI270330v1	1652	0		
Un_KI270329v1	1040	0		
Un_KI270334v1	1368	0		
Un_KI270333v1	2699	0		
Un_KI270335v1	1048	0		
Un_KI270338v1	1428	0		
Un_KI270340v1	1428	0		
Un_KI270336v1	1026	0		
Un_KI270337v1	1121	0		
Un_KI270363v1	1803	0		
Un_KI270364v1	2855	0		
Un_KI270362v1	3530	0		
Un_KI270366v1	8320	0		
Un_KI270378v1	1048	0		
Un_KI270379v1	1045	0		
Un_KI270389v1	1298	0		
Un_KI270390v1	2387	0		
Un_KI270387v1	1537	0		
Un_KI270395v1	1143	0		
Un_KI270396v1	1880	0		
Un_KI270388v1	1216	0		
Un_KI270394v1	970	0		
Un_KI270386v1	1788	0		
Un_KI270391v1	1484	0		
Un_KI270383v1	1750	0		
Un_KI270393v1	1308	0		
Un_KI270384v1	1658	0		
Un_KI270392v1	971	0		
Un_KI270381v1	1930	0		
Un_KI270385v1	990	0		
Un_KI270382v1	4215	0		
Un_KI270376v1	1136	0		
Un_KI270374v1	2656	0		
Un_KI270372v1	1650	0		
Un_KI270373v1	1451	0		
Un_KI270375v1	2378	0		
Un_KI270371v1	2805	0		
Un_KI270448v1	7992	0		
Un_KI270521v1	7642	0		
Un_GL000195v1	182896	0		
Un_GL000219v1	179198	0		
Un_GL000220v1	161802	0		
Un_GL000224v1	179693	0		
Un_KI270741v1	157432	0		
Un_GL000226v1	15008	0		
Un_GL000213v1	164239	0		
Un_KI270743v1	210658	0		
Un_KI270744v1	168472	0		
Un_KI270745v1	41891	0		
Un_KI270746v1	66486	0		
Un_KI270747v1	198735	0		
Un_KI270748v1	93321	0		
Un_KI270749v1	158759	0		
Un_KI270750v1	148850	0		
Un_KI270751v1	150742	0		
Un_KI270752v1	27745	0		
Un_KI270753v1	62944	0		
Un_KI270754v1	40191	0		
Un_KI270755v1	36723	0		
Un_KI270756v1	79590	0		
Un_KI270757v1	71251	0		
Un_GL000214v1	137718	0		
Un_KI270742v1	186739	0		
Un_GL000216v2	176608	0		
Un_GL000218v1	161147	0		
EBV	171823	0		
Un_KN707606v1_decoy	2200	0		
Un_KN707607v1_decoy	3033	0		
Un_KN707608v1_decoy	3112	0		
Un_KN707609v1_decoy	1642	0		
Un_KN707610v1_decoy	1393	0		
Un_KN707611v1_decoy	1103	0		
Un_KN707612v1_decoy	1039	0		
Un_KN707613v1_decoy	1619	0		
Un_KN707614v1_decoy	3122	0		
Un_KN707615v1_decoy	1934	0		
Un_KN707616v1_decoy	3111	0		
Un_KN707617v1_decoy	2545	0		
Un_KN707618v1_decoy	2295	0		
Un_KN707619v1_decoy	1551	0		
Un_KN707620v1_decoy	2046	0		
Un_KN707621v1_decoy	1222	0		
Un_KN707622v1_decoy	1535	0		
Un_KN707623v1_decoy	3784	0		
Un_KN707624v1_decoy	1329	0		
Un_KN707625v1_decoy	1238	0		
Un_KN707626v1_decoy	5623	0		
Un_KN707627v1_decoy	5821	0		
Un_KN707628v1_decoy	2960	0		
Un_KN707629v1_decoy	1848	0		
Un_KN707630v1_decoy	2315	0		
Un_KN707631v1_decoy	1945	0		
Un_KN707632v1_decoy	1424	0		
