contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
NC_060925.1	248387328	0		
NC_060926.1	242696752	0		
NC_060927.1	201105948	0		
NC_060928.1	193574945	0		
NC_060929.1	182045439	0		
NC_060930.1	172126628	28381554	33301857	
NC_060931.1	160567428	0		
NC_060932.1	146259331	0		
NC_060933.1	150617247	0		
NC_060934.1	134758134	0		
NC_060935.1	135127769	0		
NC_060936.1	133324548	0		
NC_060937.1	113566686	0		
NC_060938.1	101161492	0		
NC_060939.1	99753195	0		
NC_060940.1	96330374	0		
NC_060941.1	84276897	0		
NC_060942.1	80542538	0		
NC_060943.1	61707364	0		
NC_060944.1	66210255	0		
NC_060945.1	45090682	0		
NC_060946.1	51324926	0		
NC_060947.1	154259566	0		
NC_060948.1	62460029	0		
*	0	1		
