contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
PRG_287	3336	1		
PRG_147	3502	1		
PRG_685	3351	1		
PRG_608	3349	1		
PRG_267	3323	1		
PRG_49	6907	1		
PRG_161	3503	1		
KI270424.1	2140	0		
PRG_684	3354	1		
PRG_441	3337	1		
PRG_762	12727	1		
KI270587.1	2969	0		
17	83257441	0		
PRG_660	3349	1		
PRG_803	3822	1		
PRG_381	3324	1		
PRG_173	3520	1		
PRG_497	3349	1		
PRG_43	11703	1		
PRG_310	3323	1		
KI270304.1	2165	0		
PRG_584	3349	1		
PRG_28	3532	1		
PRG_555	3347	1		
PRG_307	3326	1		
PRG_23	3532	1		
KI270750.1	148850	0		
KI270388.1	1216	0		
PRG_869	3403	1		
PRG_546	3354	1		
PRG_77	3517	1		
PRG_823	13440	1		
PRG_704	3349	1		
PRG_881	12756	1		
PRG_669	3368	1		
PRG_399	3323	1		
PRG_364	3325	1		
KI270728.1	1872759	0		
PRG_76	3502	1		
PRG_560	3348	1		
PRG_168	3506	1		
KI270448.1	7992	0		
PRG_610	3349	1		
KI270726.1	43739	0		
PRG_758	11516	1		
PRG_14	3544	1		
PRG_107	3503	1		
KI270305.1	1472	0		
PRG_842	13425	1		
PRG_755	11528	1		
PRG_696	3355	1		
PRG_114	3538	1		
PRG_563	3349	1		
15	101991189	0		
PRG_57	6934	1		
PRG_611	3349	1		
PRG_395	3338	1		
PRG_233	10609	1		
PRG_596	3354	1		
PRG_830	15635	1		
PRG_123	3502	1		
PRG_680	3349	1		
PRG_277	3322	1		
KI270391.1	1484	0		
PRG_626	3354	1		
PRG_402	3339	1		
PRG_372	3322	1		
PRG_739	3349	1		
PRG_420	3324	1		
PRG_349	3322	1		
PRG_377	3339	1		
PRG_636	3349	1		
PRG_885	3552	1		
PRG_793	5769	1		
PRG_253	3312	1		
PRG_296	3327	1		
PRG_227	5013	1		
PRG_906	2998	1		
PRG_732	3349	1		
KI270340.1	1428	0		
12	133275309	0		
KI270378.1	1048	0		
PRG_530	3363	1		
PRG_405	3325	1		
PRG_152	3517	1		
PRG_411	3327	1		
PRG_521	3354	1		
PRG_133	3504	1		
PRG_904	2998	1		
PRG_326	3339	1		
PRG_37	11702	1		
PRG_86	3517	1		
PRG_350	3312	1		
PRG_875	6740	1		
PRG_539	3349	1		
PRG_579	3349	1		
PRG_84	3517	1		
PRG_778	5762	1		
PRG_671	3355	1		
PRG_71	5668	1		
PRG_120	3517	1		
PRG_815	9270	1		
PRG_359	3336	1		
PRG_214	3518	1		
KI270418.1	2145	0		
PRG_866	3403	1		
PRG_369	3340	1		
KI270393.1	1308	0		
PRG_706	3349	1		
PRG_525	3349	1		
PRG_519	3368	1		
PRG_784	5806	1		
PRG_319	3327	1		
KI270754.1	40191	0		
PRG_764	12728	1		
PRG_527	3355	1		
PRG_142	3518	1		
PRG_91	3517	1		
PRG_810	3822	1		
PRG_713	3368	1		
PRG_231	10606	1		
KI270539.1	993	0		
PRG_492	3327	1		
PRG_470	3323	1		
PRG_461	3340	1		
PRG_734	3349	1		
PRG_443	3332	1		
PRG_116	3503	1		
PRG_438	3324	1		
X	156040895	0		
PRG_833	11080	1		
PRG_59	7039	1		
PRG_617	3363	1		
PRG_839	13428	1		
PRG_54	6903	1		
PRG_338	3340	1		
PRG_289	3327	1		
PRG_818	1883	1		
KI270529.1	1899	0		
PRG_883	3557	1		
PRG_216	3503	1		
PRG_821	11076	1		
PRG_495	3349	1		
PRG_790	5762	1		
PRG_622	3349	1		
PRG_149	3518	1		
PRG_221	3518	1		
PRG_849	15449	1		
PRG_211	3504	1		
PRG_186	3517	1		
PRG_164	3517	1		
KI270735.1	42811	0		
KI270315.1	2276	0		
KI270376.1	1136	0		
PRG_542	3348	1		
PRG_813	9270	1		
KI270303.1	1942	0		
PRG_425	3325	1		
PRG_606	3354	1		
PRG_279	3339	1		
KI270382.1	4215	0		
13	114364328	0		
PRG_393	3312	1		
PRG_891	2998	1		
PRG_166	3520	1		
PRG_647	3368	1		
PRG_557	3348	1		
PRG_140	3503	1		
PRG_451	3327	1		
PRG_379	3324	1		
PRG_48	6936	1		
PRG_693	3349	1		
PRG_586	3354	1		
PRG_392	3311	1		
PRG_185	3517	1		
PRG_548	3347	1		
PRG_137	3504	1		
PRG_853	2931	1		
PRG_445	3322	1		
PRG_843	15613	1		
Y	57227415	0		
PRG_832	10736	1		
PRG_195	3517	1		
PRG_565	3354	1		
KI270522.1	5674	0		
PRG_269	3339	1		
PRG_79	3518	1		
KI270736.1	181920	0		
PRG_749	3349	1		
KI270366.1	8320	0		
PRG_510	3348	1		
PRG_645	3354	1		
PRG_541	3349	1		
PRG_175	3503	1		
PRG_640	3355	1		
KI270515.1	6361	0		
PRG_628	3363	1		
PRG_463	3322	1		
PRG_2	4827813	1		
KI270745.1	41891	0		
PRG_908	2998	1		
KI270330.1	1652	0		
PRG_629	3349	1		
PRG_828	11078	1		
KI270757.1	71251	0		
PRG_655	3355	1		
PRG_62	6916	1		
