contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
1	249250621	0		
2	243199373	0		
3	198022430	0		
4	191154276	0		
5	180915260	0		
6	171115067	0	28477796	33448355
7	159138663	0		
8	146364022	0		
9	141213431	0		
10	135534747	0		
11	135006516	0		
12	133851895	0		
13	115169878	0		
14	107349540	0		
15	102531392	0		
16	90354753	0		
17	81195210	0		
18	78077248	0		
19	59128983	0		
20	63025520	0		
21	48129895	0		
22	51304566	0		
X	155270560	0		
Y	59373566	0		
MT	16569	0		
GL000207.1	4262	0		
GL000226.1	15008	0		
GL000229.1	19913	0		
GL000231.1	27386	0		
GL000210.1	27682	0		
GL000239.1	33824	0		
GL000235.1	34474	0		
GL000201.1	36148	0		
GL000247.1	36422	0		
GL000245.1	36651	0		
GL000197.1	37175	0		
GL000203.1	37498	0		
GL000246.1	38154	0		
GL000249.1	38502	0		
GL000196.1	38914	0		
GL000248.1	39786	0		
GL000244.1	39929	0		
GL000238.1	39939	0		
GL000202.1	40103	0		
GL000234.1	40531	0		
GL000232.1	40652	0		
GL000206.1	41001	0		
GL000240.1	41933	0		
GL000236.1	41934	0		
GL000241.1	42152	0		
GL000243.1	43341	0		
GL000242.1	43523	0		
GL000230.1	43691	0		
GL000237.1	45867	0		
GL000233.1	45941	0		
GL000204.1	81310	0		
GL000198.1	90085	0		
GL000208.1	92689	0		
GL000191.1	106433	0		
GL000227.1	128374	0		
GL000228.1	129120	0		
GL000214.1	137718	0		
GL000221.1	155397	0		
GL000209.1	159169	0		
GL000218.1	161147	0		
GL000220.1	161802	0		
GL000213.1	164239	0		
GL000211.1	166566	0		
GL000199.1	169874	0		
GL000217.1	172149	0		
GL000216.1	172294	0		
GL000215.1	172545	0		
GL000205.1	174588	0		
GL000219.1	179198	0		
GL000224.1	179693	0		
GL000223.1	180455	0		
GL000195.1	182896	0		
GL000212.1	186858	0		
GL000222.1	186861	0		
GL000200.1	187035	0		
GL000193.1	189789	0		
GL000194.1	191469	0		
GL000225.1	211173	0		
GL000192.1	547496	0		
NC_007605	171823	0		
*	0	1		
